2019-06-08 23:45,cottage-grove-wi-landmark-dr,Double Caramel Chocolate Peanut
2019-06-09 23:45,mt-horeb,Bonfire S'mores
2019-06-09 23:45,cross-plains,Blackberry Cobbler
2019-06-09 23:45,middleton,Blackberry Cobbler
2019-06-09 23:45,madison-wi-mineral-point-rd,Chocolate Covered Strawberry
2019-06-09 23:45,verona,Bonfire S'mores
2019-06-09 23:45,madison-todd-drive,Cookies & Cream
2019-06-09 23:45,waunakee,Peanut Butter Salted Caramel
2019-06-09 23:45,madison-northport,Caramel Cashew
2019-06-09 23:45,sun-prairie,Blackberry Cobbler
2019-06-09 23:45,madison-east-towne,Caramel Pecan
2019-06-09 23:45,madison-cottage-grove,Chocolate Eclair
2019-06-09 23:45,mcfarland,Peanut Butter Salted Caramel
2019-06-09 23:45,stoughton,Turtle
2019-06-09 23:45,cottage-grove-wi-landmark-dr,Chocolate Pretzel Crunch
2019-06-10 23:45,mt-horeb,Creamy Lemon Crumble
2019-06-10 23:45,cross-plains,Creamy Lemon Crumble
2019-06-10 23:45,middleton,Creamy Lemon Crumble
2019-06-10 23:45,madison-wi-mineral-point-rd,Creamy Lemon Crumble
2019-06-10 23:45,verona,Creamy Lemon Crumble
2019-06-10 23:45,madison-todd-drive,Creamy Lemon Crumble
2019-06-10 23:45,waunakee,Creamy Lemon Crumble
2019-06-10 23:45,madison-northport,Creamy Lemon Crumble
2019-06-10 23:45,sun-prairie,Creamy Lemon Crumble
2019-06-10 23:45,madison-east-towne,Creamy Lemon Crumble
2019-06-10 23:45,madison-cottage-grove,Creamy Lemon Crumble
2019-06-10 23:45,mcfarland,Creamy Lemon Crumble
2019-06-10 23:45,stoughton,Creamy Lemon Crumble
2019-06-10 23:45,cottage-grove-wi-landmark-dr,Creamy Lemon Crumble
2019-06-12 23:45,mt-horeb,Andes Mint Avalanche
2019-06-12 23:45,cross-plains,Salted Double Caramel Pecan
2019-06-12 23:45,middleton,Chocolate Oreo Volcano
2019-06-12 23:45,madison-wi-mineral-point-rd,Caramel Cashew
2019-06-12 23:45,verona,Double Strawberry
2019-06-12 23:45,madison-todd-drive,Dark Chocolate Decadence
2019-06-12 23:45,waunakee,Mint Chip
2019-06-12 23:45,madison-northport,Mint Explosion
2019-06-12 23:45,sun-prairie,Hershey Almond Fudge
2019-06-12 23:45,madison-east-towne,Blackberry Cobbler
2019-06-12 23:45,madison-cottage-grove,Snickers Swirl
2019-06-12 23:45,mcfarland,Caramel Cashew
2019-06-12 23:45,stoughton,Oreo Cheesecake
2019-06-12 23:45,cottage-grove-wi-landmark-dr,Peanut Butter Salted Caramel
