"3-7 min","2-6 min",2019-12-15 09:57:42
"2-6 min","3-7 min",2019-12-15 10:02:07
"1-4 min","1-4 min",2019-12-15 10:08:08
"2-6 min","1-4 min",2019-12-15 10:11:24
"3-7 min","3-7 min",2019-12-15 10:19:33
"3-7 min","1-4 min",2019-12-15 10:23:26
"4-8 min","3-7 min",2019-12-15 10:28:40
"4-8 min","4-8 min",2019-12-15 10:39:02
"5-9 min","3-7 min",2019-12-15 10:48:37
"5-9 min","5-9 min",2019-12-15 10:56:02
"10-14 min","6-10 min",2019-12-15 11:02:46
"10-14 min","4-8 min",2019-12-15 11:06:56
"5-9 min","1-4 min",2019-12-15 11:10:50
"5-9 min","3-7 min",2019-12-15 11:15:26
"4-8 min","4-8 min",2019-12-15 11:24:11
"3-7 min","3-7 min",2019-12-15 11:28:02
"3-7 min","2-6 min",2019-12-15 11:33:36
"3-7 min","3-7 min",2019-12-15 11:35:57
"2-6 min","3-7 min",2019-12-15 11:40:59
"4-8 min","2-6 min",2019-12-15 11:47:10
"3-7 min","3-7 min",2019-12-15 11:51:03
"4-8 min","3-7 min",2019-12-15 11:57:04
"3-7 min","3-7 min",2019-12-15 12:05:38
"4-8 min","1-4 min",2019-12-15 12:13:14
"3-7 min","1-4 min",2019-12-15 12:15:20
"4-8 min","1-4 min",2019-12-15 12:27:53
"2-6 min","1-4 min",2019-12-15 12:39:01
"1-4 min","1-4 min",2019-12-15 12:41:27
"3-7 min","1-4 min",2019-12-15 12:49:44
"4-8 min","1-4 min",2019-12-15 12:54:34
"5-9 min","1-4 min",2019-12-15 12:59:14
"11-15 min","1-4 min",2019-12-15 13:09:00
"14-18 min","1-4 min",2019-12-15 13:14:51
"12-16 min","1-4 min",2019-12-15 13:22:14
"5-9 min","1-4 min",2019-12-15 13:29:43
"4-8 min","1-4 min",2019-12-15 13:33:21
"11-15 min","3-7 min",2019-12-15 13:39:51
"5-9 min","3-7 min",2019-12-15 13:40:37
"16-20 min","1-4 min",2019-12-15 13:46:26
"15-19 min","1-4 min",2019-12-15 13:54:29
"13-17 min","1-4 min",2019-12-15 13:59:26
"5-9 min","2-6 min",2019-12-15 14:04:25
"15-19 min","2-6 min",2019-12-15 14:07:55
"14-18 min","2-6 min",2019-12-15 14:10:23
"16-20 min","2-6 min",2019-12-15 14:16:54
"6-10 min","1-4 min",2019-12-15 14:22:41
"4-8 min","3-7 min",2019-12-15 14:26:13
"11-15 min","1-4 min",2019-12-15 14:39:53
"10-14 min","1-4 min",2019-12-15 14:41:29
"4-8 min","2-6 min",2019-12-15 14:49:45
"3-7 min","3-7 min",2019-12-15 14:54:02
"3-7 min","1-4 min",2019-12-15 14:57:00
"3-7 min","3-7 min",2019-12-15 15:01:24
"4-8 min","3-7 min",2019-12-15 15:05:27
"5-9 min","4-8 min",2019-12-15 15:12:42
"4-8 min","1-4 min",2019-12-15 15:15:40
"2-6 min","4-8 min",2019-12-15 15:21:20
"2-6 min","3-7 min",2019-12-15 15:26:12
"3-7 min","1-4 min",2019-12-15 15:33:19
"4-8 min","1-4 min",2019-12-15 15:36:39
"3-7 min","1-4 min",2019-12-15 15:44:12
"3-7 min","3-7 min",2019-12-15 15:50:07
"4-8 min","3-7 min",2019-12-15 15:53:46
"4-8 min","1-4 min",2019-12-15 15:58:07
"4-8 min","2-6 min",2019-12-15 16:04:11
"4-8 min","3-7 min",2019-12-15 16:07:18
"11-15 min","4-8 min",2019-12-15 16:15:08
"4-8 min","4-8 min",2019-12-15 16:19:22
"5-9 min","1-4 min",2019-12-15 16:24:26
"3-7 min","1-4 min",2019-12-15 16:32:37
"3-7 min","2-6 min",2019-12-15 16:39:31
"3-7 min","1-4 min",2019-12-15 16:41:08
"3-7 min","3-7 min",2019-12-15 16:47:57
"3-7 min","2-6 min",2019-12-15 16:54:59
"4-8 min","1-4 min",2019-12-15 16:58:25
"3-7 min","1-4 min",2019-12-15 17:02:17
"1-4 min","3-7 min",2019-12-15 17:09:39
"2-6 min","3-7 min",2019-12-15 17:11:04
"2-6 min","1-4 min",2019-12-15 17:15:38
"2-6 min","2-6 min",2019-12-15 17:21:44
"3-7 min","2-6 min",2019-12-15 17:29:59
"1-4 min","1-4 min",2019-12-15 17:34:58
"3-7 min","1-4 min",2019-12-15 17:42:25
"4-8 min","1-4 min",2019-12-15 17:49:35
"5-9 min","1-4 min",2019-12-15 17:53:20
"3-7 min","1-4 min",2019-12-15 17:59:11
"1-4 min","1-4 min",2019-12-15 18:03:41
"1-4 min","2-6 min",2019-12-15 18:07:34
"1-4 min","1-4 min",2019-12-15 18:11:15
"4-8 min","1-4 min",2019-12-15 18:19:38
"2-6 min","1-5 min",2019-12-15 18:24:08
"3-7 min","3-7 min",2019-12-15 18:29:50
"4-8 min","3-7 min",2019-12-15 18:30:53
"4-8 min","1-4 min",2019-12-15 18:38:34
"3-7 min","1-4 min",2019-12-15 18:40:18
"1-4 min","1-4 min",2019-12-15 18:56:10
"6-10 min","1-4 min",2019-12-16 04:32:34
"4-8 min","1-4 min",2019-12-16 04:39:57
"2-6 min","1-4 min",2019-12-16 04:48:32
"1-5 min","2-6 min",2019-12-16 04:56:20
"3-7 min","2-6 min",2019-12-16 05:00:37
"1-4 min","1-4 min",2019-12-16 05:06:35
"3-7 min","1-4 min",2019-12-16 05:14:20
"3-7 min","2-6 min",2019-12-16 05:22:19
"4-8 min","1-4 min",2019-12-16 05:29:32
"13-17 min","2-6 min",2019-12-16 05:37:58
"15-19 min","2-6 min",2019-12-16 05:46:46
"17-21 min","4-8 min",2019-12-16 05:53:22
"15-19 min","5-9 min",2019-12-16 05:57:38
"13-17 min","5-9 min",2019-12-16 06:03:24
"14-18 min","5-9 min",2019-12-16 06:07:46
"15-19 min","5-9 min",2019-12-16 06:13:56
"17-21 min","4-8 min",2019-12-16 06:18:12
"15-19 min","3-7 min",2019-12-16 06:24:52
"10-14 min","4-8 min",2019-12-16 06:27:59
"11-15 min","1-4 min",2019-12-16 06:31:31
"5-9 min","1-4 min",2019-12-16 06:37:00
"1-4 min","1-4 min",2019-12-16 06:43:33
"3-7 min","1-4 min",2019-12-16 06:57:28
"2-6 min","1-4 min",2019-12-16 07:00:55
"1-4 min","1-4 min",2019-12-16 07:05:15
"3-7 min","1-4 min",2019-12-16 07:12:19
"4-8 min","1-4 min",2019-12-16 07:17:40
"1-4 min","1-4 min",2019-12-16 07:24:41
"3-7 min","1-4 min",2019-12-16 07:28:21
"1-4 min","1-4 min",2019-12-16 07:55:06
"3-7 min","1-4 min",2019-12-16 08:04:02
"4-8 min","1-4 min",2019-12-16 08:13:39
"5-9 min","3-7 min",2019-12-16 08:30:01
"6-10 min","3-7 min",2019-12-16 08:30:31
"4-8 min","3-7 min",2019-12-16 08:39:33
"3-7 min","4-8 min",2019-12-16 08:46:57
"1-4 min","3-7 min",2019-12-16 08:52:01
"4-8 min","1-4 min",2019-12-16 08:58:47
"3-7 min","2-6 min",2019-12-16 09:00:31
"1-4 min","2-6 min",2019-12-16 09:07:00
"3-7 min","1-4 min",2019-12-16 09:13:58
"2-6 min","1-4 min",2019-12-16 09:23:04
"1-4 min","1-4 min",2019-12-16 09:28:09
"3-7 min","1-4 min",2019-12-16 09:35:55
"2-6 min","1-4 min",2019-12-16 09:44:32
"3-7 min","1-4 min",2019-12-16 09:46:22
"2-6 min","1-4 min",2019-12-16 09:55:00
"1-4 min","1-4 min",2019-12-16 09:56:31
"3-7 min","1-4 min",2019-12-16 10:01:56
"5-9 min","1-4 min",2019-12-16 10:42:36
"6-10 min","1-4 min",2019-12-16 10:46:55
"5-9 min","1-4 min",2019-12-16 10:53:04
"4-8 min","1-4 min",2019-12-16 10:57:05
"10-14 min","2-6 min",2019-12-16 11:01:46
"6-10 min","3-7 min",2019-12-16 11:06:32
"5-9 min","1-4 min",2019-12-16 11:13:13
"3-7 min","2-6 min",2019-12-16 11:16:49
"2-6 min","1-4 min",2019-12-16 11:22:38
"3-7 min","1-4 min",2019-12-16 11:28:16
"3-7 min","2-6 min",2019-12-16 11:31:05
"2-6 min","1-4 min",2019-12-16 11:38:27
"3-7 min","3-7 min",2019-12-16 11:44:25
"3-7 min","1-4 min",2019-12-16 11:49:16
"3-7 min","3-7 min",2019-12-16 11:53:25
"4-8 min","1-4 min",2019-12-16 12:02:19
"3-7 min","2-6 min",2019-12-16 12:09:41
"1-4 min","2-6 min",2019-12-16 12:14:12
"2-6 min","2-6 min",2019-12-16 12:15:37
"1-4 min","4-8 min",2019-12-16 12:22:38
"1-4 min","3-7 min",2019-12-16 12:26:28
"3-7 min","1-4 min",2019-12-16 12:31:53
"1-4 min","1-4 min",2019-12-16 12:36:57
"2-6 min","1-4 min",2019-12-16 12:49:49
"1-4 min","1-4 min",2019-12-16 12:53:31
"2-6 min","1-4 min",2019-12-16 12:57:01
"1-4 min","1-4 min",2019-12-16 13:04:38
"1-4 min","2-6 min",2019-12-16 13:26:36
"1-4 min","1-4 min",2019-12-16 13:33:35
"3-7 min","1-4 min",2019-12-16 13:35:56
"1-4 min","1-4 min",2019-12-16 13:44:40
"2-6 min","1-4 min",2019-12-16 13:48:52
"3-7 min","2-6 min",2019-12-16 13:53:43
"2-6 min","2-6 min",2019-12-16 13:58:18
"3-7 min","2-6 min",2019-12-16 14:02:05
"3-7 min","3-7 min",2019-12-16 14:07:47
"3-7 min","2-6 min",2019-12-16 14:10:58
"3-7 min","1-4 min",2019-12-16 14:25:49
