2017-09-06,51,39,Express - No Carpool,Aloha - No Carpool,07:11:57,07:21:00,07:46:00,07:58:00,08:01:00,17:14:03,17:27:44,17:32:55,17:51:18,17:59:19
2017-09-07,51,40,No Express - No Carpool,Aloha - Carpool,07:32:19,07:41:12,08:02:23,08:16:59,08:21:27,17:16:00,17:27:54,17:33:06,17:44:51,17:54:45
2017-09-08,40,39,Express - Carpool,Aloha - Carpool,07:10:00,07:20:08,07:37:59,07:44:29,07:47:46,17:05:07,17:16:57,17:21:57,17:38:27,NULL
2017-09-09,NULL,NULL,Express - No Carpool,Republican - Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-10,NULL,NULL,No Express - No Carpool,Aloha - Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-11,43,50,No Express - No Carpool,Aloha - No Carpool,07:08:58,07:17:49,07:37:56,07:52:11,07:56:12,17:07:38,17:23:49,17:40:13,18:08:19,18:19:27
2017-09-12,47,26,No Express - Carpool,Aloha - No Carpool,07:04:52,07:14:29,07:33:07,07:48:36,07:51:37,19:19:29,19:25:13,19:30:13,19:38:05,19:46:27
2017-09-13,48,47,Express - No Carpool,Denny - Carpool,07:22:11,07:30:25,07:54:11,08:17:00,08:24:21,17:11:52,17:23:12,17:31:53,17:45:30,18:00:06
2017-09-14,45,42,Express - Carpool,Aloha - No Carpool,06:49:30,07:00:36,07:27:34,07:33:05,07:36:03,17:31:25,17:46:08,17:53:19,18:12:28,NULL
2017-09-15,33,NULL,Express - Carpool,Republican - No Carpool,07:12:41,07:21:11,07:34:42,07:40:24,07:46:27,NULL,NULL,NULL,NULL,NULL
2017-09-16,NULL,NULL,Express - Carpool,Aloha - Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-17,NULL,NULL,No Express - Carpool,Republican - Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-18,NULL,NULL,No Express - No Carpool,Aloha - Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
